threshold,precision,recall,f1,f2,targeted_customers,targeted_rate,true_positives,false_positives,false_negatives,true_negatives
0.15,0.6611570247933884,0.9836065573770492,0.7907742998352554,0.8961911874533234,363,0.2388157894736842,240,123,4,1153
0.155,0.6648199445983379,0.9836065573770492,0.7933884297520661,0.8975317875841436,361,0.2375,240,121,4,1155
0.16,0.6751412429378532,0.9795081967213115,0.7993311036789298,0.8984962406015038,354,0.23289473684210527,239,115,5,1161
0.165,0.6770538243626062,0.9795081967213115,0.8006700167504187,0.8991723100075244,353,0.23223684210526316,239,114,5,1162
0.17,0.6789772727272727,0.9795081967213115,0.802013422818792,0.8998493975903614,352,0.23157894736842105,239,113,5,1163
0.175,0.6828571428571428,0.9795081967213115,0.8047138047138047,0.9012066365007542,350,0.23026315789473684,239,111,5,1165
0.18,0.6867816091954023,0.9795081967213115,0.8074324324324325,0.9025679758308157,348,0.22894736842105262,239,109,5,1167
0.185,0.6898550724637681,0.9754098360655737,0.8081494057724957,0.9008327024981075,345,0.22697368421052633,238,107,6,1169
0.19,0.7,0.9754098360655737,0.815068493150685,0.9042553191489362,340,0.2236842105263158,238,102,6,1174
0.195,0.7062314540059347,0.9754098360655737,0.8192771084337349,0.9063214013709063,337,0.22171052631578947,238,99,6,1177
0.2,0.7147147147147147,0.9754098360655737,0.8249566724436742,0.9090909090909091,333,0.21907894736842104,238,95,6,1181
0.205,0.716012084592145,0.9713114754098361,0.8243478260869566,0.9066564651874521,331,0.21776315789473685,237,94,7,1182
0.21,0.7195121951219512,0.9672131147540983,0.8251748251748252,0.9049079754601227,328,0.21578947368421053,236,92,8,1184
0.215,0.7239263803680982,0.9672131147540983,0.8280701754385965,0.9062980030721967,326,0.21447368421052632,236,90,8,1186
0.22,0.7306501547987616,0.9672131147540983,0.8324514991181657,0.9083910700538876,323,0.2125,236,87,8,1189
0.225,0.7306501547987616,0.9672131147540983,0.8324514991181657,0.9083910700538876,323,0.2125,236,87,8,1189
0.23,0.7375,0.9672131147540983,0.8368794326241135,0.9104938271604939,320,0.21052631578947367,236,84,8,1192
0.235,0.7398119122257053,0.9672131147540983,0.8383658969804618,0.9111969111969112,319,0.20986842105263157,236,83,8,1193
0.24,0.7468354430379747,0.9672131147540983,0.8428571428571429,0.913312693498452,316,0.20789473684210527,236,80,8,1196
0.245,0.7492063492063492,0.9672131147540983,0.8443649373881932,0.9140201394268009,315,0.20723684210526316,236,79,8,1197
0.25,0.7507987220447284,0.9631147540983607,0.8438061041292639,0.9115593483320403,313,0.20592105263157895,235,78,9,1198
0.255,0.7532051282051282,0.9631147540983607,0.8453237410071942,0.9122670807453416,312,0.20526315789473684,235,77,9,1199
0.26,0.752411575562701,0.9590163934426229,0.8432432432432433,0.9090909090909091,311,0.20460526315789473,234,77,10,1199
0.265,0.7572815533980582,0.9590163934426229,0.8462929475587704,0.9105058365758755,309,0.20328947368421052,234,75,10,1201
0.27,0.7597402597402597,0.9590163934426229,0.8478260869565217,0.9112149532710281,308,0.2026315789473684,234,74,10,1202
0.275,0.7597402597402597,0.9590163934426229,0.8478260869565217,0.9112149532710281,308,0.2026315789473684,234,74,10,1202
0.28,0.758957654723127,0.9549180327868853,0.8457350272232305,0.9080280592361653,307,0.2019736842105263,233,74,11,1202
0.285,0.761437908496732,0.9549180327868853,0.8472727272727273,0.9087363494539782,306,0.2013157894736842,233,73,11,1203
0.29,0.7664473684210527,0.9549180327868853,0.8503649635036497,0.91015625,304,0.2,233,71,11,1205
0.295,0.7715231788079471,0.9549180327868853,0.8534798534798534,0.9115805946791862,302,0.1986842105263158,233,69,11,1207
0.3,0.770764119601329,0.9508196721311475,0.8513761467889909,0.9083790133124511,301,0.1980263157894737,232,69,12,1207
0.305,0.7811447811447811,0.9508196721311475,0.8576709796672828,0.9112333071484682,297,0.19539473684210526,232,65,12,1211
0.31,0.7864406779661017,0.9508196721311475,0.8608534322820037,0.912667191188041,295,0.19407894736842105,232,63,12,1213
0.315,0.7864406779661017,0.9508196721311475,0.8608534322820037,0.912667191188041,295,0.19407894736842105,232,63,12,1213
0.32,0.7891156462585034,0.9508196721311475,0.862453531598513,0.9133858267716536,294,0.19342105263157894,232,62,12,1214
0.325,0.7891156462585034,0.9508196721311475,0.862453531598513,0.9133858267716536,294,0.19342105263157894,232,62,12,1214
0.33,0.7891156462585034,0.9508196721311475,0.862453531598513,0.9133858267716536,294,0.19342105263157894,232,62,12,1214
0.335,0.7938144329896907,0.9467213114754098,0.8635514018691589,0.9116022099447514,291,0.19144736842105264,231,60,13,1216
