cluster_label,customers,churn_rate,avg_risk,avg_transactions,avg_contacts
Contacted but fragile,488,0.8545081967213115,0.9120429,44.13729508196721,3.4938524590163933
Dormant high-risk,1070,0.9280373831775701,0.94904304,45.297196261682245,2.974766355140187
Lower-risk active,6951,0.02172349302258668,0.049708433,63.793842612573734,2.406704071356639
Mono-product exposed,1618,0.0407911001236094,0.06361399,88.61928306551297,2.007416563658838
